?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0004105>	"UBERON:0005310"
<http://purl.obolibrary.org/obo/XAO_0005247>	"UBERON:0003260"
<http://purl.obolibrary.org/obo/XAO_0000294>	"UBERON:0000090"
<http://purl.obolibrary.org/obo/XAO_0000101>	"UBERON:0008835"
<http://purl.obolibrary.org/obo/XAO_0005041>	"UBERON:0001843"
<http://purl.obolibrary.org/obo/XAO_0004141>	"UBERON:0002099"
<http://purl.obolibrary.org/obo/XAO_0000265>	"UBERON:0007127"
<http://purl.obolibrary.org/obo/XAO_0004532>	"UBERON:0002890"
<http://purl.obolibrary.org/obo/XAO_0004057>	"UBERON:0010162"
<http://purl.obolibrary.org/obo/XAO_0004575>	"UBERON:0001882"
<http://purl.obolibrary.org/obo/XAO_0003066>	"UBERON:0005418"
<http://purl.obolibrary.org/obo/XAO_0004112>	"CL:0000604"
<http://purl.obolibrary.org/obo/XAO_0000052>	"UBERON:0004344"
<http://purl.obolibrary.org/obo/XAO_0000225>	"UBERON:0003070"
<http://purl.obolibrary.org/obo/XAO_0001011>	"UBERON:0001981"
<http://purl.obolibrary.org/obo/XAO_0000185>	"UBERON:0001769"
<http://purl.obolibrary.org/obo/XAO_0005035>	"CL:0000246"
<http://purl.obolibrary.org/obo/XAO_0004028>	"UBERON:0001995"
<http://purl.obolibrary.org/obo/XAO_0003234>	"CL:0000435"
<http://purl.obolibrary.org/obo/XAO_0003260>	"CL:0000562"
<http://purl.obolibrary.org/obo/XAO_1000014>	"UBERON:0007236"
<http://purl.obolibrary.org/obo/XAO_0000023>	"UBERON:0002097"
<http://purl.obolibrary.org/obo/XAO_0003050>	"UBERON:0003428"
<http://purl.obolibrary.org/obo/XAO_0005065>	"UBERON:0001322"
<http://purl.obolibrary.org/obo/XAO_0000390>	"UBERON:0003088"
<http://purl.obolibrary.org/obo/XAO_0004194>	"UBERON:0011141"
<http://purl.obolibrary.org/obo/XAO_0005296>	"GO:0005912"
<http://purl.obolibrary.org/obo/XAO_0006040>	"CL:0000137"
<http://purl.obolibrary.org/obo/XAO_0000156>	"UBERON:0000474"
<http://purl.obolibrary.org/obo/XAO_0005124>	"UBERON:0000115"
<http://purl.obolibrary.org/obo/XAO_0004567>	"UBERON:2000248"
<http://purl.obolibrary.org/obo/XAO_0003205>	"CL:0000138"
<http://purl.obolibrary.org/obo/XAO_0003093>	"UBERON:0001646"
<http://purl.obolibrary.org/obo/XAO_0004014>	"UBERON:0007842"
<http://purl.obolibrary.org/obo/XAO_0004133>	"UBERON:0007275"
