?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_0005080>	"The bilaminar epithelium formed from the myotome and dermatome."	"UBERON:0004290"
<http://purl.obolibrary.org/obo/XAO_0004451>	"The presumptive cells of the rectus inferior muscle."	
<http://purl.obolibrary.org/obo/XAO_0004525>	"Water-filled cavity in the adult frog that is apposed to an olfactory epithelium for detection of aqueous odorants."	
<http://purl.obolibrary.org/obo/XAO_0005222>	"Anatomical region that overlaps the anterior and ventral regions of a body or body part."	
<http://purl.obolibrary.org/obo/XAO_0000458>	"A short lateral line that extends from the ear in a posterior-dorsal direction."	"UBERON:0003093"
<http://purl.obolibrary.org/obo/XAO_0004113>	"The apical region of the vegetal hemisphere."	
<http://purl.obolibrary.org/obo/XAO_0000469>	"The dorsal part of the tail fin."	"UBERON:0003097"
<http://purl.obolibrary.org/obo/XAO_0004167>	"The artery that crosses the brain dorsally, and meets the metencephalic vein."	
<http://purl.obolibrary.org/obo/XAO_0004396>	"Regenerating tissue consisting of mesenchyme cells at the tip of the regenerating limb."	
<http://purl.obolibrary.org/obo/XAO_0006010>	"One of an array of membranous disks projecting from outer segment cilia. In rods/rod cells, these disks are discontinuous, being divided into lobules or \"incisures\", and are surrounded by a plasma membrane."	
<http://purl.obolibrary.org/obo/XAO_0004448>	"The presumptive cells of laryngeal muscle."	
<http://purl.obolibrary.org/obo/XAO_0000227>	"First trace of the future visual apparatus. The eye primordia forming antero-lateral evaginations of the closing neural tube are originally massive formations into which only a slit-shaped extension of the neural groove penetrates at NF stage 18. At NF stage 19 they clearly segregate from the anterior portion of the neural tube."	"UBERON:0003071"
<http://purl.obolibrary.org/obo/XAO_0004122>	"Anatomical cluster that consists of rapidly dividing cells."	
<http://purl.obolibrary.org/obo/XAO_0005026>	"Embryonic structure that gives rise to a rhombomere."	
<http://purl.obolibrary.org/obo/XAO_0000270>	"Deep layer of the neural ectoderm, which undergoes early neuronal differentiation."	
<http://purl.obolibrary.org/obo/XAO_0005213>	"Anatomical region located on the apical end on the body or body part."	
<http://purl.obolibrary.org/obo/XAO_0004568>	"A nucleus comprising the medial aspect of the amygdala, involved in receiving olfactory information."	"UBERON:0002892"
<http://purl.obolibrary.org/obo/XAO_0005041>	"The laterally, or horizontally, oriented of the three semicircular canals."	"UBERON:0001843"
<http://purl.obolibrary.org/obo/XAO_0000377>	"The smallest of the blood vessels, parts of the microcirculation, of the liver."	
<http://purl.obolibrary.org/obo/XAO_0000132>	"Anatomical system comprising the liver, gall bladder, and associated ducts."	"UBERON:0002423"
<http://purl.obolibrary.org/obo/XAO_0004318>	"A portion of fin tissue that has been removed from the body."	
<http://purl.obolibrary.org/obo/XAO_0003113>	"Compartment of trunk somite 1 that is a precursor of the axial skeleton."	
<http://purl.obolibrary.org/obo/XAO_0000356>	"Simple squamous epithelium that lines blood and lymphatic vessels and the heart."	"UBERON:0004852"
<http://purl.obolibrary.org/obo/XAO_0004216>	"The narrow bridge that links the two glomera of the pronephric kidney."	
<http://purl.obolibrary.org/obo/XAO_0003114>	"Compartment of trunk somite 2 that is a precursor of the axial skeleton."	
<http://purl.obolibrary.org/obo/XAO_0004584>	"A cluster of nuclei found in the brain stem, the main function of which is to release serotonin to the rest of the brain."	"UBERON:0004684"
<http://purl.obolibrary.org/obo/XAO_0001016>	"The myoblast that forms the muscles of the anterior abdominal walls."	
<http://purl.obolibrary.org/obo/XAO_0000135>	"A small organ of the alimentary system that aids mainly in fat digestion, and concentrates bile that is produced by the liver."	"UBERON:0002110"
<http://purl.obolibrary.org/obo/XAO_0000056>	"Transient structure that lies immediately ventral to the notochord in the embryo, likely required for the formation of the dorsal aorta. A slight depression marks the future hypochord at NF stage 20 and its segregation from the dorsal endoderm begins at NF stage 24. It progresses from anterior to posterior and is complete by NF stage 28. At NF stage 32 it is present as a dorso-laterally flattened ribbon of yolk-laden cells. It degenerates by apoptosis and by NF stage 43 is no longer detectable as a distinct structure in the trunk region of the tadpole. The most posterior hypochord persists and begins to ossify, fusing with the coccyx to form the urostyle in the pelvic girdle around NF stage 63."	"UBERON:0003058"
<http://purl.obolibrary.org/obo/XAO_0004245>	"A type of artery that supplies the deep structures of the facial region. It branches from the external carotid artery."	
<http://purl.obolibrary.org/obo/XAO_0004496>	"Either of the paired bones that are the dorsal-most and largest bones of the pelvic girdle. They begin to connect to the sacral vertebra (9th vertebra) at NF stage 59."	
<http://purl.obolibrary.org/obo/XAO_1000046>	"Nieuwkoop and Faber stage 31, corresponding to an embryo of age 1 day, 13 hr 30 min at 22-24 Celsius and having the following external morphological criteria: Tail bud equally long as broad. Length: 4.2 - 4.8 mm."	
<http://purl.obolibrary.org/obo/XAO_0006013>	"Pteridine-containing subcellular compartment of xanthophores."	"GO:0043700"
<http://purl.obolibrary.org/obo/XAO_0003204>	"Hollow epithelial tube on the dorsal side of the embryo that develops into the brain and spinal cord."	"UBERON:0001049"
<http://purl.obolibrary.org/obo/XAO_0003223>	"Innermost nuclear layer of the retina, consisting of retinal ganglion cells, containing neurons that project axons through the optic nerve to the brain."	"UBERON:0001792"
<http://purl.obolibrary.org/obo/XAO_0006031>	"A tissue-resident macrophage of the reticuloendothelial system found on the luminal surface of the hepatic sinusoids (liver), involved in erythrocyte clearance."	"CL:0000091"
<http://purl.obolibrary.org/obo/XAO_0005024>	"A sensory epithelium inside the nasal cavity that is responsible for detecting odors."	"UBERON:0001997"
<http://purl.obolibrary.org/obo/XAO_0000311>	"Portion of the middle of the three primary germ layers of the embryo that resides on the periphery of the embryo, splits into two layers enclosing the intra-embryonic coelom, and gives rise to body wall structures."	"UBERON:0003081"
<http://purl.obolibrary.org/obo/XAO_0005000>	"A tissue whose predominant feature is extracellular matrix that may or may not be highly hydrated or calcified."	"UBERON:0007475"
<http://purl.obolibrary.org/obo/XAO_0000067>	"Region located on the ventral surface of the developing embryo that is a site of hematopoiesis and that is analogous to the yolk sac blood islands of higher vertebrates."	"UBERON:0003061"
<http://purl.obolibrary.org/obo/XAO_1000093>	"Xenopus developmental stage that corresponds to a fully formed, mature animal."	
<http://purl.obolibrary.org/obo/XAO_0000301>	"Spatial concept denoting extension relatively far inward."	
<http://purl.obolibrary.org/obo/XAO_0004038>	"A specialized form of connective tissue in which the extracellular matrix is firm, providing the tissue with resilience, and/or mineralized and that functions in mechanical and structural support."	"UBERON:0004755"
<http://purl.obolibrary.org/obo/XAO_0004570>	"Subdivision of the pallium that is located in the medial position."	"UBERON:0014738"
<http://purl.obolibrary.org/obo/XAO_0003158>	"A lymphocyte of B lineage that is capable of B-cell mediated immunity and develops in the spleen and liver (but not in the bone marrow)."	"CL:0000236"
<http://purl.obolibrary.org/obo/XAO_0006050>	"A stem cell that is located in the crypt of Liberkuhn, the tubular intestinal glands found in the mucosal membranes."	
<http://purl.obolibrary.org/obo/XAO_0004492>	"The physical groove that forms between cells at the first cell division. One-celled oocytes (NF stage 1) undergo cytoplasmic reorganization driven by sperm entry in the animal pole, where the cleavage furrow initiates, and it moves circumferentially along a line of longitude as well as progressing inwards through the cytoplasm, ultimately dividing the fertilized oocyte into two cells of equal size, defining NF stage 2."	
<http://purl.obolibrary.org/obo/XAO_0003138>	"Compartment of tail somite 15 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0004435>	"The presumptive cells of the transversus anterior muscle."	
<http://purl.obolibrary.org/obo/XAO_0003254>	"A modified epidermal cell located in the stratum basale. They are found mostly in areas where sensory perception is acute."	"CL:0000242"
<http://purl.obolibrary.org/obo/XAO_0000051>	"Principal unpaired, median artery of the trunk, extending into the tail as the caudal artery."	"UBERON:0005805"
<http://purl.obolibrary.org/obo/XAO_0004532>	"A nucleus comprising the anterior aspect of the amygdala, adjacent to the basal forebrain, and involved in receiving olfactory information."	"UBERON:0002890"
<http://purl.obolibrary.org/obo/XAO_0000198>	"Any of the three fluid-filled ducts that loop from the utriculus in the inner ear, and help detect movement and maintain balance."	"UBERON:0001840"
<http://purl.obolibrary.org/obo/XAO_0000422>	"The 12th somite located posterior to the head. This somite is resorbed at metamorphosis."	
<http://purl.obolibrary.org/obo/XAO_0005314>	"Either of the paired endochondral bones forming the anterior and lateral walls of the otic capsules."	"UBERON:0004746"
<http://purl.obolibrary.org/obo/XAO_1000087>	"The late-vitellogenic stage of the developing female gamete."	
<http://purl.obolibrary.org/obo/XAO_0000177>	"Anatomical system that has as its parts the brain and spinal cord, nerves, ganglia, and parts of the receptor organs and that receives and interprets stimuli and transmits impulses to the effector organs."	"UBERON:0001016"
<http://purl.obolibrary.org/obo/XAO_0006012>	"A non-terminally differentiated cell which originates from the neural crest and differentiates into an iridophore."	"CL:0005001"
<http://purl.obolibrary.org/obo/XAO_0000294>	"The cavity of the blastula, a closed space that is invaded by early mesenchyme and later obliterated by the enlarging archenteron. It forms during embryogenesis when a zygote (a fertilized ovum) divides into many cells through mitosis."	"UBERON:0000090"
<http://purl.obolibrary.org/obo/XAO_0003173>	"An anatomical cluster that is located in the posterior region of the neurocranium and forms the margin of the foramen margin and occipital condyles."	"UBERON:0005902"
<http://purl.obolibrary.org/obo/XAO_0004144>	"Region that is overlapping, anterior, and dorsal to the main body of the ventral blood island."	
<http://purl.obolibrary.org/obo/XAO_0005500>	"A cell-cell junction in which: on the cytoplasmic surface of each interacting plasma membrane is a dense plaque composed of a mixture of intracellular anchor proteins; a bundle of keratin intermediate filaments is attached to the surface of each plaque; transmembrane adhesion proteins of the cadherin family bind to the plaques and interact through their extracellular domains to hold the adjacent membranes together by a Ca2+-dependent mechanism."	"GO:0030057"
<http://purl.obolibrary.org/obo/XAO_0004134>	"Presumptive structure that will develop into paraxial mesoderm."	"UBERON:0007285"
<http://purl.obolibrary.org/obo/XAO_0004452>	"The presumptive cells of the rectus superior muscle."	
<http://purl.obolibrary.org/obo/XAO_0004189>	"The discrete swellings of cardiac jelly in the outflow tract and ventricular walls of the developing embryonic heart."	"UBERON:0002062"
<http://purl.obolibrary.org/obo/XAO_0004233>	"A cranial continuation of the bulbis cordis that contains two lateral branches and divides into the carotid arch, systemic arch, and pulmocutaneous arch."	
<http://purl.obolibrary.org/obo/XAO_0000150>		
<http://purl.obolibrary.org/obo/XAO_0000070>	"Region of the marginal zone extending from the ventral to lateral surface."	
<http://purl.obolibrary.org/obo/XAO_0003193>	"Cardiac chamber that consists of a wall that surrounds the cavity of a ventricle. The amphibian heart has a single ventricle and an outflow tract with an incomplete spiral septum."	"UBERON:0002082"
<http://purl.obolibrary.org/obo/XAO_1000008>	"The post-embryonic Xenopus developmental stage from feeding to the end of metamorphosis, encompassing Weisz's first-form tadpole (equivalent to Nieuwkoop and Faber 45 to 49), second-form tadpole (NF 49 to 56) and third-form tadpole (NF 56 to 60-plus) stages."	"UBERON:0009849"
<http://purl.obolibrary.org/obo/XAO_0004432>	"The presumptive cells of the orbitohyoideus muscle."	
<http://purl.obolibrary.org/obo/XAO_0004250>	"Vein that collects blood from muscles of the head and drains into the external jugular vein."	
<http://purl.obolibrary.org/obo/XAO_0005313>	"The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes."	"GO:0015629"
<http://purl.obolibrary.org/obo/XAO_0000022>	"Organizing center located at the dorsal midline of the neural tube that influences the development of the nervous system, controlling the specification and differentiation of dorsal neuronal cell types."	"UBERON:0005724"
<http://purl.obolibrary.org/obo/XAO_1000073>	"Nieuwkoop and Faber stage 61, corresponding to a tadpole of age about 48 days at 22-24 Celsius and having the following external morphological criteria: Head narrower. Tentacles considerably shortened, mostly curved backwards. Length of n. olfactorius equal to diameter of bulbus olfactorius. 4th arterial arch seen just in front of adult skin area of forelimb. Openings of gill chambers considerably narrowed. Forelimb at level of posterior half of heart. Adult skin area on abdomen covering posterior half of heart. Fins considerably reduced."	
<http://purl.obolibrary.org/obo/XAO_0005230>	"The alimentary system of a postembryonic, hatched or immature tadpole, prior to metamorphosis."	
<http://purl.obolibrary.org/obo/XAO_0006022>	"Myeloid mononuclear recirculating lymphocyte (a.k.a. a leukocyte) that can act as a precursor of tissue macrophages, osteoclasts, and some populations of tissue dendritic cells."	"CL:0000576"
<http://purl.obolibrary.org/obo/XAO_0004456>	"A sharp boundary, running parallel to the outside of the embryo, between involuted mesoderm and external ectoderm. It runs from the blastopore to the upper limit of the involuted mesoderm."	
<http://purl.obolibrary.org/obo/XAO_0005135>	"An endocrine cell that is located in the epithelium of the gastrointestinal tract or in the pancreas."	"CL:0000164"
<http://purl.obolibrary.org/obo/XAO_0003000>	"Material anatomical entity that has inherent 3D shape and is generated by coordinated expression of the organism's own genome."	"UBERON:0000061 CARO:0000003"
<http://purl.obolibrary.org/obo/XAO_0003262>	"A cell that is specialized to accumulate oxygen."	"CL:0000329"
<http://purl.obolibrary.org/obo/XAO_0003097>	"Cranial nerve that branches into the lateral (to body sense organs) and the intestino-accessorial (to the skin, muscles of shoulder, hyoid, larynx, gut, lungs, and heart)."	"UBERON:0001759"
<http://purl.obolibrary.org/obo/XAO_1000048>	"Nieuwkoop and Faber stage 33/34, corresponding to an embryo of age 1 day, 20 hr 30 min at 22-24 Celsius and having the following external morphological criteria: Stomodeal invagination a shallow vertical groove. Dorsal part of eye more pigmented than ventral part; distinct melanophores in dorsal part. Melanophores appearing dorsally on the head and laterally in a row extending from just below the pronephros backwards. Length of tail bud about twice its breadth. Beginning of heart beat. Length: 4.7 - 5.3 mm."	
<http://purl.obolibrary.org/obo/XAO_0000395>	"Vein in the posterior region that drains the ventral abdominal wall."	
<http://purl.obolibrary.org/obo/XAO_1000081>	"Unspecified Xenopus developmental stage."	
<http://purl.obolibrary.org/obo/XAO_0004252>	"Vein that comes from the subcutaneous tissue of the hindlimb stylopod."	
<http://purl.obolibrary.org/obo/XAO_0000336>	"The fused aspects of ventral mesoderm, which have migrated from either side of the prechordal plate, and fused ventrally, just behind the cement gland. They give rise to the endocardium at NF stage 27/28."	"UBERON:0003084"
<http://purl.obolibrary.org/obo/XAO_0004371>	"Cartilaginous element comprising the ascending process that helps anchor the larval palatoquadrate to the neurocranium."	
<http://purl.obolibrary.org/obo/XAO_0000071>	"Region of the marginal zone extending from the dorsal to lateral surface."	
<http://purl.obolibrary.org/obo/XAO_0004574>	"Layer composed of pyramidal neurons whose cell bodies are located between the granule cell layer and the plexiform layer."	"UBERON:0004186"
<http://purl.obolibrary.org/obo/XAO_0003039>	"Multi-tissue structure that is part of a compound organ."	"CARO:0000019 UBERON:0000471"
<http://purl.obolibrary.org/obo/XAO_0003160>	"Anatomical group that has its parts adjacent to one another."	"CARO:0000041 UBERON:0000477"
<http://purl.obolibrary.org/obo/XAO_0004616>	"The ventrolateral regions of the neural tube, above to the floor plate region and encompassing structurally distinct interneurons (in lateral positions) and the more ventral motor neurons."	
<http://purl.obolibrary.org/obo/XAO_0003104>	"Compartment of head somite 1 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0004402>	"Following amputation in late prometamorphosis or in young froglets, tissue comprising fibroblast-like cells in a limb stump that aggregate beneath the wound epithelia."	
<http://purl.obolibrary.org/obo/XAO_0000065>	"Cardiac muscle constituting the middle layer of the heart."	"UBERON:0002349"
<http://purl.obolibrary.org/obo/XAO_0004620>	"Cranial placode with neurogenic potential."	"UBERON:0009955"
<http://purl.obolibrary.org/obo/XAO_0000040>	"The anterior-most third of the embryo, formed from the development of the head outgrowth at NF stage 21."	"UBERON:0001444"
<http://purl.obolibrary.org/obo/XAO_0005315>	"Vein that is part of the periocular region."	
<http://purl.obolibrary.org/obo/XAO_0003159>	"An immature T cell located in the thymus."	
<http://purl.obolibrary.org/obo/XAO_0003119>	"Compartment of trunk somite 7 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0000367>	"The anterior continuation of the internal carotid artery, which gives off the nasociliary artery anterior to the eye."	"UBERON:0004449"
<http://purl.obolibrary.org/obo/XAO_0000164>	"Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine."	"UBERON:0002369"
<http://purl.obolibrary.org/obo/XAO_0000232>	"The anterior part of the alimentary system, from the mouth and esophagus to the duodenum at the entrance of the bile duct. Structures of the foregut are: esophagus, stomach, duodenum, liver, gall bladder, and pancreas. The spleen is located in the foregut region, but is not a gut organ."	"UBERON:0001041"
<http://purl.obolibrary.org/obo/XAO_0004034>	"Extracellular matrix that is mineralized."	
<http://purl.obolibrary.org/obo/XAO_0004174>	"The major vein of the midbrain, which crosses the midbrain medially to meet its partner the mesencephalic artery."	"UBERON:0010205"
<http://purl.obolibrary.org/obo/XAO_0004439>	"The presumptive cells of the levator arcuum branchialium III muscles."	
<http://purl.obolibrary.org/obo/XAO_0000134>	"Duct that carries bile from the liver to the small intestine."	"UBERON:0002394"
<http://purl.obolibrary.org/obo/XAO_0004595>	"Nucleus situated in the thalamus that receives inputs from the basal nuclei and the function of which is to help coordinate and plan movement."	
<http://purl.obolibrary.org/obo/XAO_0005252>		
<http://purl.obolibrary.org/obo/XAO_0004098>	"A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body."	"CL:0000103"
<http://purl.obolibrary.org/obo/XAO_0004017>	"A skeletal element that has the potential to participate in endochondral ossification, and may participate in intramembranous ossification."	"UBERON:0010363"
<http://purl.obolibrary.org/obo/XAO_0003252>	"A cell that is specialized to accumulate keratins, a family of fibrous structural proteins."	"CL:0000311"
<http://purl.obolibrary.org/obo/XAO_0004332>	"Muscle that is part a complex that arises from the skull roof and acts to elevate or close the lower jaw. The last jaw levator to develop, it originates rostral to the palatoquadrate."	
<http://purl.obolibrary.org/obo/XAO_0004498>	"The ventral and anterior of the three principal bones composing the pelvic girdle. The pubes fuse with the ilia at NF stage 53, and touch each other at NF stage 62. Full contact of the medial surfaces occurs at NF stage 63 when ossification also begins. Ossification continues through metamorphosis."	
<http://purl.obolibrary.org/obo/XAO_0006047>	"A neuron-like cell, often with atypical dentric knobs, seen in the olfactory epithelium of the olfactory bulb, and which are S100Z-positive, the axons of which extend/push into the olfactory nerve."	
<http://purl.obolibrary.org/obo/XAO_0005160>	"A tiny skeletal element adjacent to the anterior-most digit in the autopod in the developing forelimb, possibly representing a vestigal digit."	
<http://purl.obolibrary.org/obo/XAO_0003216>	"The layer of nerve cells in the retina."	"UBERON:0003902"
<http://purl.obolibrary.org/obo/XAO_0004047>	"Odontogenic papilla located along the jaws or pharyngeal skeleton."	
<http://purl.obolibrary.org/obo/XAO_0000138>	"A double layer of tissue composed of peritoneum that attaches the visceral organs to the body wall."	"UBERON:0007826"
<http://purl.obolibrary.org/obo/XAO_0005253>		
<http://purl.obolibrary.org/obo/XAO_0004420>	"Claw located at the end of the 4th hindlimb digit."	
<http://purl.obolibrary.org/obo/XAO_0005022>	"A type of cell comprising the main structural component of the liver."	"CL:0000182"
<http://purl.obolibrary.org/obo/XAO_0004148>	"A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage."	"CL:0000763"
<http://purl.obolibrary.org/obo/XAO_1000083>	"The pre-vitellogenic stage of the developing female gamete."	
<http://purl.obolibrary.org/obo/XAO_0000319>	"Neural crest cells that migrate along two major pathways: through the somites, to populate the skin where they give rise to pigment cells; cells migrating along the lateral pathway generate sensory and sympathetic ganglia and adrenal chromaffin cells, among others."	"UBERON:0003083"
<http://purl.obolibrary.org/obo/XAO_0003120>	"Compartment of trunk somite 8 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0005172>	"The blastomere of the future left side of the embryo at the 2-cell stage."	
<http://purl.obolibrary.org/obo/XAO_1000089>	"Tadpole stage during which limb bud growth occurs, comprising Nieuwkoop and Faber stages 45 to 54."	
<http://purl.obolibrary.org/obo/XAO_1000034>	"Nieuwkoop and Faber stage 18, corresponding to an embryo of age 19 hr 45 min at 22-24 Celsius and having the following external morphological criteria: Neural groove stage. Anterior part of neural plate narrow, more or less club-shaped, often narrower towards rostral end. Parallel neural folds in trunk region very close to each other, not yet touching. Length: 1.5 - 1.6 mm."	
<http://purl.obolibrary.org/obo/XAO_1000060>	"Nieuwkoop and Faber stage 48, corresponding to a tadpole of age 7.5 days at 22-24 Celsius and having the following external morphological criteria: Beginning of pigmentation around n. acusticus. Forelimb bud visible for the first time. Shining gold-coloured abdomen. Hindlimb bud semicircular in lateral aspect. Length: 14 - 17 mm."	
<http://purl.obolibrary.org/obo/XAO_0004029>	"Cartilage tissue primarily composed of type II collagen (thin fibrils) and a glassy appearance."	"UBERON:0001994"
<http://purl.obolibrary.org/obo/XAO_0000139>	"Serous membrane that forms the lining of the abdominal cavity or the coelom. It covers most of the intra-abdominal organs, supports the abdominal organs, and serves as a conduit for their blood and lymph vessels and nerves. It is composed of a layer of mesothelium."	"UBERON:0002358"
<http://purl.obolibrary.org/obo/XAO_0006049>	"A type of cell that has microvilli-like structures and is situated in the olfactory epithelium."	
<http://purl.obolibrary.org/obo/XAO_0004079>	"Any of the transient sequential subdivisions of the developing hindbrain, all posterior to the midbrain-hindbrain boundary."	"UBERON:0001892"
<http://purl.obolibrary.org/obo/XAO_0005036>	"A calcified dermal layer that is found between the stratum spongiosum and the stratum compactum of the skin."	
<http://purl.obolibrary.org/obo/XAO_0004231>	"A single long structure at each corner of the mouth that has muscle fibers attached to an internal cartilaginous support and that is mobile."	
<http://purl.obolibrary.org/obo/XAO_0000315>	"Somitic compartment that is a precursor of muscle."	"UBERON:0003082"
<http://purl.obolibrary.org/obo/XAO_0005070>	"A shallow, longitudinal groove separating the developing gray matter into a basal and alar plates along the length of the neural tube."	"UBERON:0005478"
<http://purl.obolibrary.org/obo/XAO_0005211>	"The side of an organism that is right of the sagittal plane."	
<http://purl.obolibrary.org/obo/XAO_0000357>	"The thin layer of cells that lines the interior surface of blood vessels, forming an interface between circulating blood in the lumen and the rest of the vessel wall."	"UBERON:0001917"
<http://purl.obolibrary.org/obo/XAO_0004461>	"Site above the branchial arch complex where vagal neural crest cells temporarily arrest their migration before entering the pharyngeal arches and heart."	
<http://purl.obolibrary.org/obo/XAO_0004115>	"A developing female gamete that is at the early vitellogenic stage."	
<http://purl.obolibrary.org/obo/XAO_0004447>	"The presumptive cells of the dilatator laryngis muscle."	
<http://purl.obolibrary.org/obo/XAO_0003075>	"Skeletal system that is part of the head, including the splanchnocranium, chondrocranium, and dermatocranium."	"UBERON:0010323"
<http://purl.obolibrary.org/obo/XAO_0004171>	"One of the major dorsal head veins that drains into the anterior cardinal vein, the other being the vena capitis medialis."	
<http://purl.obolibrary.org/obo/XAO_0000099>	"Structures that develop from the pharyngeal arches. Pharyngeal arches are anlage for a multitude of structures. Each pharyngeal arch has a cartilaginous stick, a muscle component which differentiates from the cartilaginous tissue, an artery, and a cranial nerve. Each of these is surrounded by mesenchyme. Arches do not develop simultaneously, but instead possess a staggered development."	"UBERON:0008896"
<http://purl.obolibrary.org/obo/XAO_0000342>	"The anterior member of a series of six paired arterial connections between the dorsal and ventral aortae. Aortic arch that is part of mandibular arch."	"UBERON:0003118"
<http://purl.obolibrary.org/obo/XAO_0004207>	"One of the 3 domains of the U-shaped preplacodal ectoderm (PPE), which lies abutting and lateral to the chordal neural plate border and neural crest."	
<http://purl.obolibrary.org/obo/XAO_0004598>	"A neuromere that is part of the presumptive forebrain."	"UBERON:0014775"
<http://purl.obolibrary.org/obo/XAO_0000440>	"Thickened placodal areas located anterior and posterior to the otic vesicle. There are 5 distinct lateral line placodes, each giving rise to a single lateral line nerve that will innervate lateral line hair cells and convey information on motion to the adjacent hindbrain."	"UBERON:0009128"
<http://purl.obolibrary.org/obo/XAO_0000209>	"A cluster of nervous tissue principally composed of neuronal cell bodies external to the central nervous system (CNS)."	"UBERON:0000045"
<http://purl.obolibrary.org/obo/XAO_0004123>	"The part of the heart connecting the atrium to the cardiac ventricle."	"UBERON:0002087"
<http://purl.obolibrary.org/obo/XAO_0000225>	"The ectodermal precursor of the trigeminal ganglion. The profundal and the trigeminal ganglia are separate distally but fused at their proximal end as they condense around NF stage 24. The trigeminal placode gives rise to the sensory neurons of the ophthalmic and maxillomandibular lobes of cranial nerve V."	"UBERON:0003070"
<http://purl.obolibrary.org/obo/XAO_0005116>	"A cell in the pituitary gland (hypophysis) that generates melanocyte-stimulating hormone from its precursor polypeptide, pro-opiomelanocortin (POMC)."	"CL:0000440"
<http://purl.obolibrary.org/obo/XAO_0000304>	"Spatial concept pertaining to being situated at or extending to the side."	
<http://purl.obolibrary.org/obo/XAO_0005186>	"The glandular, anterior lobe of the pituitary gland (hypophysis). It regulates several physiological processes including stress, growth, and reproduction."	"UBERON:0002196"
<http://purl.obolibrary.org/obo/XAO_0004576>	"A brain structure that is part of the septal nuclear complex and is connected with the hippocampus, hypothalamus, and amygdala."	"UBERON:0001879"
<http://purl.obolibrary.org/obo/XAO_0005074>	"A gland of the skin in which some secretory cells are serous and some mucous."	
<http://purl.obolibrary.org/obo/XAO_0000126>	"The cavity of the mouth, bounded by the jaw bones and associated structures."	"UBERON:0000167"
<http://purl.obolibrary.org/obo/XAO_0003034>	"An internal organ of the body; especially: one (as the heart, liver, or intestine) located in the great cavity of the trunk proper."	"UBERON:0002075"
<http://purl.obolibrary.org/obo/XAO_0000271>	"Layer of lateral plate mesoderm that forms the future body wall; it underlies the ectoderm."	"UBERON:0004871"
<http://purl.obolibrary.org/obo/XAO_0003176>	"Regional skeletal system of the jaws, hyoid and branchial arches."	"UBERON:0008895"
<http://purl.obolibrary.org/obo/XAO_0000300>	"Spatial concept denoting only the surface of the body."	
<http://purl.obolibrary.org/obo/XAO_0004404>	"The predominant cell type in the epidermis, the primary function of which is the formation of a barrier against environmental damage."	
<http://purl.obolibrary.org/obo/XAO_0004269>	"Lateral line placode that gives rise to the anterodorsal lateral line nerve."	
<http://purl.obolibrary.org/obo/XAO_0004501>	"A cell that is in the process of programmed cell death. The process is characterized by morphological changes (e.g. blebbing, cell shrinkage, nuclear fragmentation, chromatin condensation, and chromosomal DNA fragmentation) ending in cell death."	
<http://purl.obolibrary.org/obo/XAO_0004170>	"One of the major dorsal head veins that drains into the anterior cardinal vein, the other being the vena capitis lateralis."	
<http://purl.obolibrary.org/obo/XAO_0004617>	"The dorsolateral regions of the neural tube, ventral to the roof plate region and encompassing structurally distinct sensory neurons (more dorsally) and interneurons (in lateral positions)."	
<http://purl.obolibrary.org/obo/XAO_0005234>	"One of the four cell types that are found in bilayered epithlium of the larval epidermis (the others being goblet cells, multicilliated cells, and ionocytes) and have an abundance of large apical secretory vesicles and secrete a glyocoprotein with antimicrobial properties."	
<http://purl.obolibrary.org/obo/XAO_0005256>		
<http://purl.obolibrary.org/obo/XAO_0005236>	"Type of adult stem cells that are induced by thyroid hormone (TH) and, during intestinal remodeling during metamorphosis, newly generate the absorptive epithelium."	
<http://purl.obolibrary.org/obo/XAO_0004124>	"Endocardium that is part of the atrioventricular canal."	"UBERON:0003930"
<http://purl.obolibrary.org/obo/XAO_0004076>	"A tendon located in the intersomitic region."	
<http://purl.obolibrary.org/obo/XAO_0004256>	"A vein formed by the combination of veins in the pelvic region that collects blood from the liver, stomach, intestines, and gall bladder."	
<http://purl.obolibrary.org/obo/XAO_0005073>	"A gland in which the principal secretory cells are mucus secreting cells."	"UBERON:0000414"
<http://purl.obolibrary.org/obo/XAO_0000338>	"The outlet of the embryonic heart; lies in the floor of the pharynx and conducts blood from the bulbus arteriosis to the aortic arches (1-6)."	"UBERON:0003085"
<http://purl.obolibrary.org/obo/XAO_0004553>	"Type of neuron characterized by having very small cell bodies. These cells are found within the granular layers of the cerebellum and the olfactory bulb."	"CL:0000120"
