?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_0006025>	"A cell with extensive dendritic processes found in the B cell areas (primary follicles and germinal centers) of lymphoid tissue."	"CL:0000442"
<http://purl.obolibrary.org/obo/XAO_0003126>	"Compartment of trunk somite 9 that is a precursor of the axial skeleton."	
<http://purl.obolibrary.org/obo/XAO_0000447>	"The most anterior, or first, pharygeal/branchial arch, composed of the mandibular process, forming the posterior border of the stomodeum, and the maxillary process anterior to the stomodeum, containing the first aortic arch."	"UBERON:0003114"
<http://purl.obolibrary.org/obo/XAO_0000296>	"Anatomical direction relating to the vegetal pole or hemisphere."	
<http://purl.obolibrary.org/obo/XAO_0004552>	"Superficial layer of the olfactory bulb, composed of spherical glomeruli, where input from olfactory receptor neurons is first organized and processed."	
<http://purl.obolibrary.org/obo/XAO_0005242>	"The posterior portions of the U-shaped neural folds, the two longitudinal dorsal ridges caused by a folding up of the ectoderm, which appear on either side of the middle line of the early neurula embryo."	
<http://purl.obolibrary.org/obo/XAO_0003221>	"The layer of the retina composed of the cell bodies of bipolar cells, horizontal cells, and some of the cell bodies of amacrine cells."	"UBERON:0001791"
<http://purl.obolibrary.org/obo/XAO_0005195>	"The mesh-like system of enteric neurons that innervate the gastrointestinal tract, with neurons embedded in the lining of the gastrointestinal system, beginning at the esophagus and extending down to the cloaca. The ENS can and does operate independently of the brain and the spinal cord."	"UBERON:0002005"
<http://purl.obolibrary.org/obo/XAO_0000174>	"A type of muscle used to create movement, by applying force to bones and joints. Usually attached to bones by tendons."	"UBERON:0001134"
<http://purl.obolibrary.org/obo/XAO_0004052>	"Odontogenic tissue that is collagen-rich and characteristic of vertebrate teeth and tooth-like structures (e.g., odontodes) deposited by preodontoblasts and odontoblasts that are typically excluded from the matrix."	"UBERON:0011587"
<http://purl.obolibrary.org/obo/XAO_0000169>	"The hard form of connective tissue that constitutes the majority of the skeleton."	"UBERON:0002481"
<http://purl.obolibrary.org/obo/XAO_0003111>	"Compartment of trunk somite 4 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0000378>	"Ventrolateral component of the external jugular vein."	
<http://purl.obolibrary.org/obo/XAO_0004099>	"Interneuron of the retina. They integrate, modulate, and interpose a temporal domain in the visual message presented to the retinal ganglion cells, with which they synapse in the inner plexiform layer. They lack large axons."	"CL:0000561"
<http://purl.obolibrary.org/obo/XAO_0000248>	"The median dorsal longitudinal groove in the neural plate, directly above the notochord, which appears after neural fold formation."	"UBERON:0005061"
<http://purl.obolibrary.org/obo/XAO_0004130>	"A mechanoreceptor cell located in the inner ear that is sensitive to auditory stimuli. The accessory sensory structures are arranged so that appropriate stimuli cause movement of the hair-like projections (stereocilia and kinocilia) which relay the information centrally in the nervous system."	"CL:0000202"
<http://purl.obolibrary.org/obo/XAO_0003253>	"Type of cell that is capable of generating and maintaining the fibrous connective tissue of the ligament."	"CL:0000384"
<http://purl.obolibrary.org/obo/XAO_1000057>	"Nieuwkoop and Faber stage 45, corresponding to a tadpole of age 4 days, 2 hr at 22-24 Celsius and having the following external morphological criteria: Operculum partly covering gills, edge still straight. Intestine spiralized in ventral aspects, showing 1.5 revolutions. Beginning of feeding. Length: 8 - 10 mm."	
<http://purl.obolibrary.org/obo/XAO_0003248>	"A cell of the inner of the three germ layers of the embryo."	"CL:0000223"
<http://purl.obolibrary.org/obo/XAO_0003211>	"A bone of the wrist of the hindlimb, which remains cartilaginous until NF stage 66."	"UBERON:0009879"
