?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/XAO_0004609>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural nucleus"	
<http://purl.obolibrary.org/obo/XAO_0005242>	<http://www.w3.org/2000/01/rdf-schema#label>	"posterior neural fold"	
<http://purl.obolibrary.org/obo/XAO_0004323>	<http://www.w3.org/2000/01/rdf-schema#label>	"mandibular head muscle"	
<http://purl.obolibrary.org/obo/XAO_1000042>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 26"	
<http://purl.obolibrary.org/obo/XAO_0000200>	<http://www.w3.org/2000/01/rdf-schema#label>	"animal blastomere"	
<http://purl.obolibrary.org/obo/XAO_0003207>	<http://www.w3.org/2000/01/rdf-schema#label>	"carpus"	
<http://purl.obolibrary.org/obo/XAO_0003213>	<http://www.w3.org/2000/01/rdf-schema#label>	"tibia-fibula"	
<http://purl.obolibrary.org/obo/XAO_0004480>	<http://www.w3.org/2000/01/rdf-schema#label>	"forelimb digit 4"	
<http://purl.obolibrary.org/obo/XAO_0004008>	<http://www.w3.org/2000/01/rdf-schema#label>	"simple columnar epithelium"	
<http://purl.obolibrary.org/obo/XAO_0000061>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pronephric capsule"	
<http://purl.obolibrary.org/obo/XAO_0000107>	<http://www.w3.org/2000/01/rdf-schema#label>	"tail bud"	
<http://purl.obolibrary.org/obo/XAO_0000234>	<http://www.w3.org/2000/01/rdf-schema#label>	"germinal vesicle"	
<http://purl.obolibrary.org/obo/XAO_0004488>	<http://www.w3.org/2000/01/rdf-schema#label>	"diaphysis"	
<http://purl.obolibrary.org/obo/XAO_0000116>	<http://www.w3.org/2000/01/rdf-schema#label>	"capillary"	
<http://purl.obolibrary.org/obo/XAO_0004147>	<http://www.w3.org/2000/01/rdf-schema#label>	"vitelline vein"	
<http://purl.obolibrary.org/obo/XAO_0004438>	<http://www.w3.org/2000/01/rdf-schema#label>	"mm. levator arcuum branchialium II primordium"	
<http://purl.obolibrary.org/obo/XAO_0004182>	<http://www.w3.org/2000/01/rdf-schema#label>	"pericardium"	
<http://purl.obolibrary.org/obo/XAO_0005191>	<http://www.w3.org/2000/01/rdf-schema#label>	"ethmoid bone"	
<http://purl.obolibrary.org/obo/XAO_0004044>	<http://www.w3.org/2000/01/rdf-schema#label>	"non-mineralized hyaline cartilage tissue"	
<http://purl.obolibrary.org/obo/XAO_1000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 13"	
<http://purl.obolibrary.org/obo/XAO_0004230>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior hypothalamus"	
<http://purl.obolibrary.org/obo/XAO_0005138>	<http://www.w3.org/2000/01/rdf-schema#label>	"subcortical cytoplasm"	
<http://purl.obolibrary.org/obo/XAO_0004330>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. levator mandibulae longus superficialis"	
<http://purl.obolibrary.org/obo/XAO_0004474>	<http://www.w3.org/2000/01/rdf-schema#label>	"periotic region"	
<http://purl.obolibrary.org/obo/XAO_0004087>	<http://www.w3.org/2000/01/rdf-schema#label>	"neural fold"	
<http://purl.obolibrary.org/obo/XAO_0004621>	<http://www.w3.org/2000/01/rdf-schema#label>	"epidermal cell"	
<http://purl.obolibrary.org/obo/XAO_0004127>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. geniohyoideus"	
<http://purl.obolibrary.org/obo/XAO_0000172>	<http://www.w3.org/2000/01/rdf-schema#label>	"muscle"	
<http://purl.obolibrary.org/obo/XAO_0004373>	<http://www.w3.org/2000/01/rdf-schema#label>	"processus lateralis hyalis"	
<http://purl.obolibrary.org/obo/XAO_0000080>	<http://www.w3.org/2000/01/rdf-schema#label>	"forelimb region"	
<http://purl.obolibrary.org/obo/XAO_0004419>	<http://www.w3.org/2000/01/rdf-schema#label>	"claw of hindlimb digit 3"	
<http://purl.obolibrary.org/obo/XAO_0000231>	<http://www.w3.org/2000/01/rdf-schema#label>	"follicle layer"	
<http://purl.obolibrary.org/obo/XAO_0004201>	<http://www.w3.org/2000/01/rdf-schema#label>	"odontode tissue"	
<http://purl.obolibrary.org/obo/XAO_0000123>	<http://www.w3.org/2000/01/rdf-schema#label>	"bone marrow"	
<http://purl.obolibrary.org/obo/XAO_0000088>	<http://www.w3.org/2000/01/rdf-schema#label>	"upper blastopore lip"	
<http://purl.obolibrary.org/obo/XAO_0005063>	<http://www.w3.org/2000/01/rdf-schema#label>	"external coil of the small intestine"	
<http://purl.obolibrary.org/obo/XAO_0005294>	<http://www.w3.org/2000/01/rdf-schema#label>	"mandibular nerve"	
<http://purl.obolibrary.org/obo/XAO_0005002>	<http://www.w3.org/2000/01/rdf-schema#label>	"multicellular anatomical structure"	
<http://purl.obolibrary.org/obo/XAO_0004163>	<http://www.w3.org/2000/01/rdf-schema#label>	"angioblast"	
<http://purl.obolibrary.org/obo/XAO_0005505>	<http://www.w3.org/2000/01/rdf-schema#label>	"nasal region"	
<http://purl.obolibrary.org/obo/XAO_0004310>	<http://www.w3.org/2000/01/rdf-schema#label>	"stapes"	
<http://purl.obolibrary.org/obo/XAO_0004541>	<http://www.w3.org/2000/01/rdf-schema#label>	"bed nucleus of the stria terminalis"	
<http://purl.obolibrary.org/obo/XAO_0003032>	<http://www.w3.org/2000/01/rdf-schema#label>	"digit"	
<http://purl.obolibrary.org/obo/XAO_0004329>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. levator mandibulae longus profundus"	
<http://purl.obolibrary.org/obo/XAO_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"head somite 1"	
<http://purl.obolibrary.org/obo/XAO_0004071>	<http://www.w3.org/2000/01/rdf-schema#label>	"optic chiasm"	
<http://purl.obolibrary.org/obo/XAO_0005111>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastomere V2.2.2"	
<http://purl.obolibrary.org/obo/XAO_0003200>	<http://www.w3.org/2000/01/rdf-schema#label>	"gut epithelium"	
<http://purl.obolibrary.org/obo/XAO_0004079>	<http://www.w3.org/2000/01/rdf-schema#label>	"rhombomere"	
<http://purl.obolibrary.org/obo/XAO_0005263>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior neuroectoderm"	
<http://purl.obolibrary.org/obo/XAO_0000190>	<http://www.w3.org/2000/01/rdf-schema#label>	"tympanic disk"	
<http://purl.obolibrary.org/obo/XAO_0003175>	<http://www.w3.org/2000/01/rdf-schema#label>	"otic region"	
<http://purl.obolibrary.org/obo/XAO_0005154>	<http://www.w3.org/2000/01/rdf-schema#label>	"plasma membrane"	
<http://purl.obolibrary.org/obo/XAO_0000356>	<http://www.w3.org/2000/01/rdf-schema#label>	"vascular endothelium"	
<http://purl.obolibrary.org/obo/XAO_0004365>	<http://www.w3.org/2000/01/rdf-schema#label>	"fenestra basicranialis"	
<http://purl.obolibrary.org/obo/XAO_0004512>	<http://www.w3.org/2000/01/rdf-schema#label>	"midgut primordium"	
<http://purl.obolibrary.org/obo/XAO_0000074>	<http://www.w3.org/2000/01/rdf-schema#label>	"involuting marginal zone"	
<http://purl.obolibrary.org/obo/XAO_0000247>	<http://www.w3.org/2000/01/rdf-schema#label>	"visceral pouch 2"	
<http://purl.obolibrary.org/obo/XAO_0003003>	<http://www.w3.org/2000/01/rdf-schema#label>	"unspecified"	
<http://purl.obolibrary.org/obo/XAO_0003125>	<http://www.w3.org/2000/01/rdf-schema#label>	"myotome of trunk somite 9"	
<http://purl.obolibrary.org/obo/XAO_0006021>	<http://www.w3.org/2000/01/rdf-schema#label>	"hepatic erythrocyte"	
<http://purl.obolibrary.org/obo/XAO_0005313>	<http://www.w3.org/2000/01/rdf-schema#label>	"actin cytoskeleton"	
<http://purl.obolibrary.org/obo/XAO_0000382>	<http://www.w3.org/2000/01/rdf-schema#label>	"internal jugular vein"	
<http://purl.obolibrary.org/obo/XAO_0006029>	<http://www.w3.org/2000/01/rdf-schema#label>	"megakaryocyte/erythrocyte precursor"	
<http://purl.obolibrary.org/obo/XAO_0000281>	<http://www.w3.org/2000/01/rdf-schema#label>	"vegetal yolk mass"	
<http://purl.obolibrary.org/obo/XAO_0000327>	<http://www.w3.org/2000/01/rdf-schema#label>	"right spleen primordium"	
<http://purl.obolibrary.org/obo/XAO_1000036>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 20"	
<http://purl.obolibrary.org/obo/XAO_0000430>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rathke's pouch"	
<http://purl.obolibrary.org/obo/XAO_0000045>	<http://www.w3.org/2000/01/rdf-schema#label>	"pre-chordal neural plate"	
<http://purl.obolibrary.org/obo/XAO_0000218>	<http://www.w3.org/2000/01/rdf-schema#label>	"appendage"	
<http://purl.obolibrary.org/obo/XAO_0000449>	<http://www.w3.org/2000/01/rdf-schema#label>	"branchial arch 2"	
<http://purl.obolibrary.org/obo/XAO_0000336>	<http://www.w3.org/2000/01/rdf-schema#label>	"heart primordium"	
<http://purl.obolibrary.org/obo/XAO_0000178>	<http://www.w3.org/2000/01/rdf-schema#label>	"peripheral nervous system"	
<http://purl.obolibrary.org/obo/XAO_0005146>	<http://www.w3.org/2000/01/rdf-schema#label>	"oval window"	
<http://purl.obolibrary.org/obo/XAO_0005172>	<http://www.w3.org/2000/01/rdf-schema#label>	"left blastomere"	
<http://purl.obolibrary.org/obo/XAO_0004528>	<http://www.w3.org/2000/01/rdf-schema#label>	"tail somite 18"	
<http://purl.obolibrary.org/obo/XAO_0004264>	<http://www.w3.org/2000/01/rdf-schema#label>	"zeugopod"	
<http://purl.obolibrary.org/obo/XAO_0004495>	<http://www.w3.org/2000/01/rdf-schema#label>	"iliac process primordium"	
<http://purl.obolibrary.org/obo/XAO_1000070>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 58"	
<http://purl.obolibrary.org/obo/XAO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"olfactory placode"	
<http://purl.obolibrary.org/obo/XAO_0006009>	<http://www.w3.org/2000/01/rdf-schema#label>	"outer segment cilium"	
<http://purl.obolibrary.org/obo/XAO_1000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"tailbud stage"	
<http://purl.obolibrary.org/obo/XAO_0005220>	<http://www.w3.org/2000/01/rdf-schema#label>	"medial region"	
<http://purl.obolibrary.org/obo/XAO_0006002>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral plate mesoderm, right side"	
<http://purl.obolibrary.org/obo/XAO_0005008>	<http://www.w3.org/2000/01/rdf-schema#label>	"cilium"	
<http://purl.obolibrary.org/obo/XAO_0000134>	<http://www.w3.org/2000/01/rdf-schema#label>	"bile duct"	
<http://purl.obolibrary.org/obo/XAO_0003132>	<http://www.w3.org/2000/01/rdf-schema#label>	"myotome of trunk somite 12"	
<http://purl.obolibrary.org/obo/XAO_0004214>	<http://www.w3.org/2000/01/rdf-schema#label>	"accessory nerve"	
<http://purl.obolibrary.org/obo/XAO_0000138>	<http://www.w3.org/2000/01/rdf-schema#label>	"mesentery"	
<http://purl.obolibrary.org/obo/XAO_0000307>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior neural tube"	
<http://purl.obolibrary.org/obo/XAO_0003250>	<http://www.w3.org/2000/01/rdf-schema#label>	"exocrine cell"	
<http://purl.obolibrary.org/obo/XAO_0000313>	<http://www.w3.org/2000/01/rdf-schema#label>	"head somite"	
<http://purl.obolibrary.org/obo/XAO_0003038>	<http://www.w3.org/2000/01/rdf-schema#label>	"simple organ"	
<http://purl.obolibrary.org/obo/XAO_0003141>	<http://www.w3.org/2000/01/rdf-schema#label>	"sclerotome of tail somite 17"	
<http://purl.obolibrary.org/obo/XAO_0000429>	<http://www.w3.org/2000/01/rdf-schema#label>	"cranial nerve"	
<http://purl.obolibrary.org/obo/XAO_0005117>	<http://www.w3.org/2000/01/rdf-schema#label>	"germinal granule"	
<http://purl.obolibrary.org/obo/XAO_0000273>	<http://www.w3.org/2000/01/rdf-schema#label>	"olfactory organ"	
<http://purl.obolibrary.org/obo/XAO_0005010>	<http://www.w3.org/2000/01/rdf-schema#label>	"growth cone"	
<http://purl.obolibrary.org/obo/XAO_0004580>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal funiculus"	
<http://purl.obolibrary.org/obo/XAO_0000422>	<http://www.w3.org/2000/01/rdf-schema#label>	"tail somite 14"	
<http://purl.obolibrary.org/obo/XAO_0000164>	<http://www.w3.org/2000/01/rdf-schema#label>	"adrenal gland"	
<http://purl.obolibrary.org/obo/XAO_0006045>	<http://www.w3.org/2000/01/rdf-schema#label>	"basophil"	
<http://purl.obolibrary.org/obo/XAO_0004466>	<http://www.w3.org/2000/01/rdf-schema#label>	"serous membrane"	
<http://purl.obolibrary.org/obo/XAO_1000043>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 27"	
<http://purl.obolibrary.org/obo/XAO_0004357>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. obliquus superior"	
<http://purl.obolibrary.org/obo/XAO_0004588>	<http://www.w3.org/2000/01/rdf-schema#label>	"subcommissural organ"	
<http://purl.obolibrary.org/obo/XAO_0000343>	<http://www.w3.org/2000/01/rdf-schema#label>	"aortic arch 2"	
<http://purl.obolibrary.org/obo/XAO_0003074>	<http://www.w3.org/2000/01/rdf-schema#label>	"vertebral column"	
