?x	?p	?y
<http://purl.obolibrary.org/obo/XAO_0003040>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000017>
<http://purl.obolibrary.org/obo/XAO_0004574>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0003111>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000059>
<http://purl.obolibrary.org/obo/XAO_0005117>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000083>
<http://purl.obolibrary.org/obo/XAO_0000217>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000023>
<http://purl.obolibrary.org/obo/XAO_0003085>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000024>
<http://purl.obolibrary.org/obo/XAO_0004601>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000038>
<http://purl.obolibrary.org/obo/XAO_0000037>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000036>
<http://purl.obolibrary.org/obo/XAO_0004134>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000031>
<http://purl.obolibrary.org/obo/XAO_0000137>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000136>
<http://purl.obolibrary.org/obo/XAO_0006043>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000027>
<http://purl.obolibrary.org/obo/XAO_0004186>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000035>
<http://purl.obolibrary.org/obo/XAO_0005012>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000001>
<http://purl.obolibrary.org/obo/XAO_0000092>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000020>
<http://purl.obolibrary.org/obo/XAO_0004219>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000098>
<http://purl.obolibrary.org/obo/XAO_0005306>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003044>
<http://purl.obolibrary.org/obo/XAO_1000060>	<http://purl.obolibrary.org/obo/xao#preceded_by>	<http://purl.obolibrary.org/obo/XAO_1000059>
<http://purl.obolibrary.org/obo/XAO_0000210>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000045>
<http://purl.obolibrary.org/obo/XAO_0000275>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000062>
<http://purl.obolibrary.org/obo/XAO_0004192>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000025>
<http://purl.obolibrary.org/obo/XAO_0000083>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000082>
<http://purl.obolibrary.org/obo/XAO_0000446>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0000244>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0005501>
<http://purl.obolibrary.org/obo/XAO_0004231>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000073>
